Cabecera;Local Nacional Comercializadora;Anunciante S2i;Importe Cierre;Cierre AA
;;;37.032.884 €;32.331.462 €
CUCO;Nacional;ING DIRECT 202457;20.526 €;22.111 €
CUCO;Nacional;AEGON SEGUROS 128513;0 €;14.052 €
CUCO;Nacional;GENERAL OPTICA 160116;13.268 €;20.163 €
CUCO;Nacional;OPEL ESPAÑA 855;136.946 €;29.094 €
CUCO;Nacional;EL CORTE INGLES 663;733.851 €;139.334 €
CUCO;Nacional;MUTUA MADRILEÑA 360525;28.866 €;28.821 €
CUCO;Nacional;LINEA DIRECTA 147776;11.022 €;18.371 €
CUCO;Nacional;MEDIA MARKT ESPAÑA 176105;24.928 €;42.633 €
CUCO;Nacional;ALSA GRUPO 5742;0 €;245 €
CUCO;Nacional;PRODIGIOS INTERACTIVOS 587355;0 €;3.901 €
CUCO;Nacional;HBO ESPAÑA 857095;6.853 €;10.790 €
CUCO;Nacional;JOHNSON & JOHNSON 211788;36.137 €;29.003 €
CUCO;Nacional;HUAWEI 377433;53.831 €;44.107 €
CUCO;Nacional;LA CAIXA 198722;0 €;422 €
CUCO;Nacional;VODAFONE ESPAÑA 202269;121.889 €;146.240 €
CUCO;Nacional;BESTINVER GESTION 849215;0 €;21.951 €
CUCO;Nacional;BANCO SANTANDER 456355;197.689 €;89.085 €
CUCO;Nacional;INNOCEAN WORLDWIDE EUROPE GMBH 323113;0 €;4.308 €
CUCO;Nacional;SIMYO 290750;24.330 €;18.441 €
CUCO;Nacional;PEUGEOT ESPAÑA 211643;28.692 €;64.184 €
CUCO;Nacional;BRICO DEPOT ESPAÑA 213384;0 €;-17 €
CUCO;Nacional;SUBARU ESPAÑA 649736;3.893 €;27.381 €
CUCO;Nacional;MICHELIN 1299;12.426 €;27.699 €
CUCO;Nacional;SAMSUNG ELECTRONICS 1667;124.771 €;106.854 €
CUCO;Nacional;EURO 6000 213484;0 €;5.856 €
CUCO;Nacional;MIELE 1300;3.337 €;4.413 €
CUCO;Nacional;AIR EUROPA 198916;4.395 €;3.271 €
CUCO;Nacional;VERSION DIGITAL 381079;0 €;4.193 €
CUCO;Nacional;IFOREX 326119;0 €;686 €
CUCO;Nacional;SDAD. DE PROMOC. Y GESTION DEL TURISMO ARAGONES  859488;0 €;888 €
CUCO;Nacional;TCV 595175;0 €;360 €
CUCO;Nacional;EDARLING 323040;0 €;213 €
CUCO;Nacional;CENTRO DE ESTUDIOS FINANCIEROS 702155;3.281 €;14.493 €
CUCO;Nacional;GRUPO TELEFONICA-MOVISTAR 239683;91.054 €;76.213 €
CUCO;Nacional;PHILIP MORRIS SPAIN 50690;0 €;6.166 €
CUCO;Nacional;SAS TEADS TECH 377573;321.599 €;280.918 €
CUCO;Nacional;EDRINGTON 873341;0 €;1.800 €
CUCO;Nacional;KAWASAKI ESPAÑA 375840;0 €;344 €
CUCO;Nacional;PARADORES 212447;58.777 €;19.038 €
CUCO;Nacional;EXPONENTIAL INTERACTIVE SPAIN 373650;14.976 €;14.663 €
CUCO;Nacional;IFEMA - FERIA DE MADRID 154382;0 €;2.644 €
CUCO;Nacional;CRUCOX 908031;0 €;2.600 €
CUCO;Nacional;SIGNUS 237700;0 €;1.000 €
CUCO;Nacional;DIPUTACION DE ZARAGOZA 200047;2.402 €;2.990 €
CUCO;Nacional;GRUPO CEPSA 354874;28.360 €;21.057 €
